Date,Open,High,Low,Close,Volume
2/25/10,1101.24,1103.5,1086.02,1102.94,2511738889
2/26/10,1103.1,1107.24,1097.56,1104.49,2191772222
3/1/10,1105.36,1116.11,1105.36,1115.71,2137577778
3/2/10,1117.01,1123.46,1116.51,1118.31,2297044444
3/3/10,1119.36,1125.64,1116.58,1118.79,2195177778
3/4/10,1119.12,1123.73,1116.66,1122.97,2191672222
3/5/10,1125.12,1139.38,1125.12,1138.7,2296111111
3/8/10,1138.4,1141.05,1136.77,1138.5,2097044444
3/9/10,1137.56,1145.37,1134.9,1140.45,2880872222
3/10/10,1140.22,1148.26,1140.09,1145.61,3038400000
3/11/10,1143.96,1150.24,1138.99,1150.24,2593922222
3/12/10,1151.71,1153.41,1146.97,1149.99,2737866667
3/15/10,1148.53,1150.98,1141.45,1150.51,2313394444
3/16/10,1150.83,1160.28,1150.35,1159.46,2427650000
3/17/10,1159.94,1169.84,1159.94,1166.21,2757333333
3/18/10,1166.13,1167.77,1161.16,1165.83,2352505556
3/19/10,1166.68,1169.2,1155.33,1159.9,2895783333
3/22/10,1157.25,1167.82,1152.88,1165.81,2367600000
3/23/10,1166.47,1174.72,1163.83,1174.17,2450911111
3/24/10,1172.7,1173.04,1166.01,1167.72,2614305556
3/25/10,1170.03,1180.69,1165.09,1165.73,3149388889
3/26/10,1167.58,1173.93,1161.48,1166.59,2615788889
3/29/10,1167.71,1174.85,1167.71,1173.22,2430877778
3/30/10,1173.75,1177.83,1168.92,1173.27,2269444444
3/31/10,1171.75,1174.56,1165.77,1169.43,2491300000
4/1/10,1171.23,1181.43,1170.69,1178.1,2226038889
4/5/10,1178.71,1187.73,1178.71,1187.44,2156455556
4/6/10,1186.01,1191.8,1182.77,1189.44,2270100000
4/7/10,1188.23,1189.6,1177.25,1182.45,2834127778
4/8/10,1181.75,1188.55,1175.12,1186.44,2626094444
4/9/10,1187.47,1194.66,1187.15,1194.37,2506427778
4/12/10,1194.94,1199.2,1194.71,1196.48,2559494444
4/13/10,1195.94,1199.04,1188.82,1197.3,3001988889
4/14/10,1198.69,1210.65,1198.69,1210.65,3200022222
